"month","activity_index","momentum","labor_utilization"
2007-02-01,101.853295567149,,101.320948655199
2007-03-01,102.134657469938,,102.051444391216
2007-04-01,102.203421618199,74.0122768153296,103.580965040314
2007-05-01,102.673775072526,84.7851199433001,106.46949891255
2007-06-01,102.660096921628,75.3859901514024,105.413172582071
2007-07-01,102.58622100845,69.6567542097543,105.129618029787
2007-08-01,102.414199637627,38.5398913568807,102.857318176468
2007-09-01,102.499507789997,43.3696171418425,103.552322346325
2007-10-01,102.54007042089,49.1026282070777,102.405789278949
2007-11-01,102.44759571631,53.11385985767,101.540008330362
2007-12-01,102.411401733845,46.9848381148226,102.127708766756
2008-01-01,102.58464446993,53.6730450268363,102.479248202632
2008-02-01,102.341602163797,46.0826525718986,100.366798387057
2008-03-01,102.358075230498,48.7360829101781,100.924782360318
2008-04-01,102.53605185724,48.9794047775539,101.288046440844
2008-05-01,102.164211953718,42.5110101148703,100.221989322955
2008-06-01,102.298446815735,48.4161902997941,102.689526682893
2008-07-01,101.935796484743,23.9034706290548,101.094738448752
2008-08-01,102.027075855803,44.5028749039884,101.533717475383
2008-09-01,102.068400339922,39.921635140134,101.0215636331
2008-10-01,102.190351058265,63.9558937322845,101.415228262872
2008-11-01,101.839722472674,41.9899483924892,100.369578744565
2008-12-01,101.184523179593,14.8944063045556,98.9176481636384
2009-01-01,100.61102479934,4.04462405556385,99.0815413987786
2009-02-01,100.150200227784,3.21304753131456,99.4027332930491
2009-03-01,99.4692187741109,2.9841959106633,98.1023605317096
2009-04-01,99.0006133545337,3.61771763557877,97.6529184868367
2009-05-01,98.6359344653994,4.32674576979415,97.7792165319951
2009-06-01,98.4730222144053,11.6489699123618,98.2260828025894
2009-07-01,98.3276600512387,20.5139322246939,97.7167840674634
2009-08-01,98.1409783691196,27.210180757416,99.4618309156718
2009-09-01,97.9557368920822,26.2524789795332,98.5595548458328
2009-10-01,97.5168359753117,16.02201717382,98.1806275133787
2009-11-01,97.3504311289058,16.565363210364,99.298843085288
2009-12-01,97.0681371267926,13.8623887328892,99.0163078286305
2010-01-01,97.0650372466289,28.8246055487948,101.669721054908
2010-02-01,96.6425379416332,18.9493237010809,100.210114490425
